,Unnamed: 0,Unnamed: 0.1,Team,Game,Date,Home,Opponent,WINorLOSS,Points,Opp.Points,FieldGoals,FieldGoalsAttempted,FieldGoals.,3PointShots,3PointShotsAttempted,3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,date,Points-Differential,FieldGoals-Differential,FieldGoalsAttempted-Differential,FieldGoals.-Differential,3PointShots-Differential,3PointShotsAttempted-Differential,3PointShots.-Differential,FreeThrows-Differential,FreeThrowsAttempted-Differential,FreeThrows.-Differential,OffRebounds-Differential,TotalRebounds-Differential,Assists-Differential,Steals-Differential,Blocks-Differential,Turnovers-Differential,TotalFouls-Differential
34,2494,3530,ATL,35,2016-01-03,Away,NYK,L,97,111,37,84,0.44,8,26,0.308,15,20,0.75,8,32,26,11,5,15,14,44,88,0.5,11,26,0.423,12,14,0.857,12,46,27,8,7,16,19,2016-01-03,-14,-7,-4,-0.06,-3,0,-0.11499999999999999,3,6,-0.10699999999999998,-4,-14,-1,3,-2,-1,-5
35,2495,3630,ATL,36,2016-01-05,Home,NYK,L,101,107,37,87,0.425,15,39,0.385,12,19,0.632,14,41,22,3,4,13,24,40,84,0.476,5,18,0.278,22,24,0.917,11,46,20,7,6,9,20,2016-01-05,-6,-3,3,-0.05099999999999999,10,21,0.10699999999999998,-10,-5,-0.28500000000000003,3,-5,2,-4,-2,4,4
36,2496,3730,ATL,37,2016-01-07,Away,PHI,W,126,98,49,92,0.5329999999999999,13,32,0.406,15,19,0.789,14,48,36,18,6,16,23,39,86,0.453,5,18,0.278,15,25,0.6,14,43,21,9,4,22,17,2016-01-07,28,10,6,0.0799999999999999,8,14,0.128,0,-6,0.18900000000000006,0,5,15,9,2,-6,6
37,2497,3830,ATL,38,2016-01-09,Home,CHI,W,120,105,49,94,0.521,10,24,0.417,12,15,0.8,8,40,33,15,13,15,22,36,83,0.434,7,18,0.389,26,31,0.8390000000000001,12,46,16,7,6,21,13,2016-01-09,15,13,11,0.08700000000000002,3,6,0.02799999999999997,-14,-16,-0.039000000000000035,-4,-6,17,8,7,-6,9
38,2498,3930,ATL,39,2016-01-13,Away,CHO,L,84,107,30,81,0.37,7,25,0.28,17,21,0.81,6,37,17,5,4,16,21,36,82,0.439,13,39,0.333,22,26,0.846,11,54,26,8,9,16,24,2016-01-13,-23,-6,-1,-0.069,-6,-14,-0.05299999999999999,-5,-5,-0.03599999999999992,-5,-17,-9,-3,-5,0,-3
39,2499,4030,ATL,40,2016-01-15,Away,MIL,L,101,108,43,100,0.43,9,30,0.3,6,6,1.0,7,43,29,5,9,17,25,40,96,0.417,3,10,0.3,25,37,0.6759999999999999,21,60,19,9,13,16,14,2016-01-15,-7,3,4,0.013000000000000012,6,20,0.0,-19,-31,0.32400000000000007,-14,-17,10,-4,-4,1,11
40,2500,4139,ATL,41,2016-01-16,Home,BRK,W,114,86,44,79,0.557,8,29,0.276,18,24,0.75,5,40,34,14,5,10,20,34,78,0.436,6,20,0.3,12,19,0.632,7,36,22,5,3,17,17,2016-01-16,28,10,1,0.12100000000000005,2,9,-0.023999999999999966,6,5,0.118,-2,4,12,9,2,-7,3
41,2501,4232,ATL,42,2016-01-18,Home,ORL,W,98,81,41,80,0.513,9,19,0.474,7,10,0.7,4,47,31,9,6,17,20,30,87,0.345,6,22,0.273,15,20,0.75,11,42,21,11,5,13,13,2016-01-18,17,11,-7,0.16800000000000004,3,-3,0.20099999999999996,-8,-10,-0.050000000000000044,-7,5,10,-2,1,4,7
42,2502,4330,ATL,43,2016-01-20,Away,POR,W,104,98,39,87,0.448,10,24,0.417,16,23,0.696,10,43,25,7,3,13,13,41,94,0.436,9,31,0.29,7,11,0.636,13,50,23,5,4,12,18,2016-01-20,6,-2,-7,0.01200000000000001,1,-7,0.127,9,12,0.05999999999999994,-3,-7,2,2,-1,1,-5
43,2503,4430,ATL,44,2016-01-21,Away,SAC,L,88,91,35,84,0.417,8,33,0.242,10,15,0.667,7,42,21,15,9,19,19,33,92,0.359,7,24,0.292,18,24,0.75,17,56,24,13,4,19,14,2016-01-21,-3,2,-8,0.057999999999999996,1,9,-0.04999999999999999,-8,-9,-0.08299999999999996,-10,-14,-3,2,5,0,5
44,2504,4530,ATL,45,2016-01-23,Away,PHO,L,95,98,34,84,0.405,12,34,0.353,15,18,0.833,11,43,23,8,7,16,17,34,85,0.4,10,24,0.417,20,26,0.769,15,52,22,10,6,17,17,2016-01-23,-3,0,-1,0.0050000000000000044,2,10,-0.064,-5,-8,0.06399999999999995,-4,-9,1,-2,1,-1,0
